,52,389,41
6593,0.90912287,-0.51812903,-0.25028188
3519,-0.16869506,-0.999992,0.78034699
4376,0.97952946,-0.99997849,-0.19531033
4294,-0.19201079,-0.99994138,0.59910311
29,0.85049913,-0.99998561,0.15187734
4291,-0.19261285,-0.99992992,0.59840431
3651,0.38453782,-0.99986641,0.4314367
2178,0.97406689,-0.5688943,-0.19178107
2908,0.9418763,-0.99996898,-0.11330455
1092,0.9799441,-0.81760219,-0.21153427
7330,0.93101212,-0.86021462,-0.22957541
124,0.96514254,-0.85128164,-0.24835088
3666,0.83560122,-0.9999436,0.20419079
6480,0.96148569,-0.99989477,-0.26941737
7231,-0.32545265,-0.99418738,0.78705292
4486,0.94202455,-0.63943182,-0.24135559
5187,0.92973745,-0.95789612,-0.13243347
2698,0.89562078,-0.78131843,-0.35459663
7154,0.97002111,-0.66840659,-0.14975531
1553,0.9680481,-0.84011116,-0.18394612
3504,-0.13093324,-0.99997316,0.77456495
3098,0.92170289,-0.99998806,-0.1663309
598,-0.13487833,-0.99992815,0.85419571
75,-0.70250277,-0.99996908,-0.045998244
1339,0.96843534,-0.99932583,-0.094480888
1416,0.91356396,-0.88138733,-0.13576329
3121,0.98142324,-0.99997393,-0.078006599
4461,-0.25251147,-0.99994442,0.71178293
5862,0.94610192,-0.71441162,-0.27350129
6635,0.99077461,-0.99998542,0.025643309
5507,0.98833344,-0.999982,-0.14114932
3095,0.92247948,-0.99998657,-0.16780563
149,0.94962239,-0.72084357,-0.248511
3282,0.98194175,-0.99999277,0.068350971
1557,0.97732969,-0.81478454,-0.18321413
6154,-0.50233925,-0.99993316,0.59613965
453,0.95135837,-0.832273,-0.2672514
4326,0.88236222,-0.75264492,-0.36410302
3044,0.82950772,-0.90565892,-0.30045431
415,-0.26792168,-0.99989273,0.76133611
2318,0.8376762,-0.80019921,-0.27509908
808,0.96280141,-0.68105001,-0.0078337828
5852,0.96163156,-0.51365364,-0.08632804
3671,0.788637,-0.99983302,0.23347304
958,0.9446971,-0.24156963,-0.11485166
4290,-0.19261285,-0.99996925,0.59954181
1119,0.91658547,-0.38707186,-0.23518369
6325,0.97267443,-0.99969385,-0.23255916
810,0.97688915,-0.65445287,-0.025384063
4336,0.89385978,-0.39326559,-0.35438071
