sexo,qtd_filhos,tipo_renda_assalariado,tipo_renda_servidor_publico,educacao_secundario,educacao_superior_incompleto,estado_civil_casado,estado_civil_solteiro,idade,tempo_emprego,qt_pessoas_residencia,predicted_income,credit_limit,card_class,loan_granted
0,0,0,0,1,0,0,1,26,6.602739726027397,1.0,3521.75081922017,6000,gold,36000
1,0,1,0,0,0,1,0,28,7.183561643835616,2.0,8037.628646934461,15000,black,72000
0,0,0,0,0,0,1,0,35,0.8383561643835616,2.0,2816.7353803975325,6000,gold,36000
0,1,0,1,0,0,1,0,30,4.846575342465753,3.0,3521.75081922017,6000,gold,36000
1,0,1,0,1,0,0,1,33,4.293150684931507,1.0,4827.252950138516,6000,gold,36000
0,0,1,0,0,0,1,0,39,4.345205479452055,2.0,3521.75081922017,6000,gold,36000
0,0,0,0,0,0,0,0,55,6.3780821917808215,1.0,3521.75081922017,6000,gold,36000
0,0,0,0,1,0,1,0,36,3.104109589041096,2.0,2816.7353803975325,6000,gold,36000
0,0,1,0,1,0,1,0,50,18.6054794520548,2.0,8336.886324503303,15000,black,72000
1,0,1,0,0,0,1,0,60,10.558904109589042,2.0,15802.01258793967,unlimited,black,150000
1,0,0,0,1,0,1,0,39,2.0876712328767124,2.0,4827.252950138516,6000,gold,36000
0,0,0,0,1,0,1,0,65,,2.0,3521.75081922017,6000,gold,36000
0,0,0,0,1,0,0,0,60,,1.0,3521.75081922017,6000,gold,36000
0,0,1,0,0,0,1,0,41,15.04109589041096,2.0,5063.104048582998,8500,platinum,54000
1,0,0,0,0,0,1,0,58,4.586301369863014,2.0,4827.252950138516,6000,gold,36000
1,1,1,0,1,0,0,1,31,2.043835616438356,2.0,4827.252950138516,6000,gold,36000
0,0,0,0,1,0,0,0,53,8.545205479452052,2.0,3521.75081922017,6000,gold,36000
0,0,0,1,1,0,0,1,45,15.82739726027397,1.0,6118.0007082153,8500,platinum,54000
1,1,1,0,0,0,0,0,44,6.934246575342466,2.0,8037.628646934461,15000,black,72000
1,0,0,1,0,0,1,0,26,6.1589041095890416,2.0,8037.628646934461,15000,black,72000
1,1,1,0,1,0,0,1,40,20.60821917808219,2.0,38296.74249999999,unlimited,black,150000
0,0,0,0,0,1,1,0,58,,2.0,3521.75081922017,6000,gold,36000
0,0,0,0,1,0,0,0,61,,1.0,3521.75081922017,6000,gold,36000
0,0,0,0,1,0,1,0,59,,2.0,3521.75081922017,6000,gold,36000
1,1,0,0,1,0,1,0,24,6.594520547945206,3.0,8037.628646934461,15000,black,72000
0,0,0,0,1,0,0,0,64,,1.0,3521.75081922017,6000,gold,36000
1,2,0,0,0,0,1,0,40,0.6273972602739726,4.0,4827.252950138516,6000,gold,36000
0,0,0,0,1,0,1,0,50,19.30958904109589,2.0,8336.886324503303,15000,black,72000
0,1,1,0,1,0,0,0,42,0.8356164383561644,2.0,2816.7353803975325,6000,gold,36000
0,1,0,0,1,0,1,0,37,7.528767123287671,3.0,3521.75081922017,6000,gold,36000
0,0,1,0,1,0,0,0,49,24.301369863013697,1.0,8336.886324503303,15000,black,72000
1,0,0,0,1,0,0,1,28,3.512328767123288,1.0,4827.252950138516,6000,gold,36000
1,1,1,0,0,1,1,0,31,1.8301369863013703,3.0,4827.252950138516,6000,gold,36000
0,0,0,0,1,0,0,1,40,,1.0,3521.75081922017,6000,gold,36000
0,0,0,0,1,0,1,0,50,1.747945205479452,2.0,2816.7353803975325,6000,gold,36000
0,0,1,0,0,0,0,1,54,7.958904109589041,1.0,3521.75081922017,6000,gold,36000
1,0,0,0,1,0,0,1,51,4.3780821917808215,1.0,4827.252950138516,6000,gold,36000
0,0,0,0,1,0,1,0,61,,2.0,3521.75081922017,6000,gold,36000
0,0,1,0,1,0,1,0,54,3.0904109589041098,2.0,2816.7353803975325,6000,gold,36000
0,0,1,0,1,0,0,0,30,3.9287671232876713,2.0,3521.75081922017,6000,gold,36000
0,1,0,0,0,0,1,0,45,7.315068493150685,3.0,3521.75081922017,6000,gold,36000
1,0,0,0,1,0,1,0,64,,2.0,4827.252950138516,6000,gold,36000
0,1,1,0,1,0,1,0,41,9.01917808219178,3.0,3521.75081922017,6000,gold,36000
0,2,1,0,1,0,0,0,40,6.594520547945206,3.0,3521.75081922017,6000,gold,36000
0,0,0,1,0,0,0,0,45,25.356164383561644,1.0,8336.886324503303,15000,black,72000
0,0,0,0,0,0,1,0,47,3.2931506849315078,2.0,2816.7353803975325,6000,gold,36000
0,2,0,0,0,0,1,0,37,17.361643835616437,4.0,8336.886324503303,15000,black,72000
1,0,1,0,1,0,1,0,51,17.194520547945206,2.0,21323.110512820513,unlimited,black,150000
0,1,1,0,0,0,0,0,26,5.778082191780823,2.0,3521.75081922017,6000,gold,36000
1,2,0,0,0,0,1,0,39,13.0,4.0,15802.01258793967,unlimited,black,150000
0,0,1,0,1,0,1,0,36,14.643835616438356,2.0,5063.104048582998,8500,platinum,54000
0,2,1,0,0,0,1,0,30,6.27123287671233,4.0,3521.75081922017,6000,gold,36000
1,0,0,1,1,0,0,1,41,6.049315068493152,1.0,8037.628646934461,15000,black,72000
0,0,0,1,0,0,0,0,45,7.534246575342466,2.0,3521.75081922017,6000,gold,36000
0,0,0,0,1,0,1,0,64,,2.0,3521.75081922017,6000,gold,36000
0,0,0,0,1,0,1,0,60,,2.0,3521.75081922017,6000,gold,36000
1,2,1,0,0,0,1,0,37,0.4383561643835616,4.0,4827.252950138516,6000,gold,36000
0,0,1,0,1,0,0,1,52,10.720547945205482,1.0,5063.104048582998,8500,platinum,54000
0,0,1,0,1,0,1,0,50,0.3753424657534247,2.0,2816.7353803975325,6000,gold,36000
1,0,0,0,1,0,1,0,34,11.065753424657538,2.0,15802.01258793967,unlimited,black,150000
0,0,0,0,0,0,1,0,35,0.8383561643835616,2.0,2816.7353803975325,6000,gold,36000
0,0,1,0,1,0,0,0,58,3.024657534246576,2.0,2816.7353803975325,6000,gold,36000
0,1,0,1,0,0,1,0,41,4.4602739726027405,3.0,3521.75081922017,6000,gold,36000
0,1,0,1,0,0,0,0,46,25.19178082191781,3.0,8336.886324503303,15000,black,72000
1,0,1,0,1,0,1,0,53,12.473972602739725,2.0,15802.01258793967,unlimited,black,150000
0,1,1,0,0,0,0,0,31,2.0136986301369864,3.0,2816.7353803975325,6000,gold,36000
0,0,0,1,1,0,1,0,46,8.01917808219178,2.0,3521.75081922017,6000,gold,36000
0,0,0,0,0,0,0,0,30,0.7589041095890411,2.0,2816.7353803975325,6000,gold,36000
0,0,1,0,1,0,1,0,37,3.1178082191780816,2.0,2816.7353803975325,6000,gold,36000
0,1,1,0,0,0,0,0,26,5.778082191780823,2.0,3521.75081922017,6000,gold,36000
1,0,1,0,1,0,1,0,42,9.627397260273971,2.0,10744.083531914897,20000,black,100000
0,0,0,0,0,0,1,0,60,,2.0,3521.75081922017,6000,gold,36000
0,0,1,0,0,0,0,0,47,23.2027397260274,1.0,8336.886324503303,15000,black,72000
1,0,1,0,1,0,1,0,56,36.865753424657534,2.0,58958.307777777765,unlimited,black,150000
0,1,0,0,1,0,1,0,38,2.180821917808219,3.0,2816.7353803975325,6000,gold,36000
0,0,1,0,1,0,1,0,37,1.1369863013698631,2.0,2816.7353803975325,6000,gold,36000
1,1,1,0,0,0,1,0,26,1.3753424657534246,3.0,4827.252950138516,6000,gold,36000
1,0,1,0,0,0,1,0,45,4.287671232876712,2.0,4827.252950138516,6000,gold,36000
1,0,1,0,1,0,1,0,36,2.2164383561643834,2.0,4827.252950138516,6000,gold,36000
1,0,0,0,1,0,1,0,29,4.035616438356166,2.0,4827.252950138516,6000,gold,36000
0,0,0,0,1,0,1,0,50,19.30958904109589,2.0,8336.886324503303,15000,black,72000
